"","Occur_date","Occur_weekday","incident","cases","time","location","release","zip","lat","lon"
"1","2021-03-10","Wednesday","Robbery","2021-085102","14:02","Starflower Dr. / Aster Ln.","Lt. Eugene Woehrle",53719,43.0527993,-89.5171601
"2","2021-03-09","Tuesday","Weapons Violation","2021-83866","16:08","200 block of N. Gammon Rd.","Sgt. Nicholas Ellis",53717,43.0701064,-89.5025442
"3","2021-03-08","Monday","Theft","2021-081677","03:50","2800 Maple View Dr","PIO Tyler Grigg",53719,43.0229572,-89.4962621
"4","2021-03-07","Sunday","Disturbance","2021-080921","13:00","2833 E Washington Ave","PIO Tyler Grigg",53704,43.1020189,-89.3446491
"5","2021-03-07","Sunday","Arrested Person","2021-080431","01:00","600 block Grand Canyon Dr","PIO Tyler Grigg",53719,43.0541231,-89.4981206
"6","2021-03-07","Sunday","Weapons Violation","2021-80566","04:05","5900 blk of Schroeder Rd.","Sgt. Kurt Wege",53711,43.0467809,-89.4796123
"7","2021-03-06","Saturday","Weapons Violation","2021-80352","23:40","2900 blk Turbot Dr.","Sgt. Kurt Wege",53713,43.0294699,-89.418236
"8","2021-03-05","Friday","Exposure","2021-079080","23:03","1600 block Packers Ave","PIO Tyler Grigg",53704,43.1175665,-89.3555455
"9","2021-03-04","Thursday","Arrested Person","2021-075885","09:57","5700 Russett Rd","PIO Tyler Grigg",53711,43.0330352,-89.4769451
"10","2021-03-03","Wednesday","Arrested Person","2021-075989","17:15","1200 block Northport Dr","PIO Tyler Grigg",53704,43.136041,-89.3764946
"11","2021-03-03","Wednesday","Weapons Violation","2021-075468","10:53","1700 block Lake Point Dr","PIO Tyler Grigg",53713,43.0481456,-89.3440692
"12","2021-03-03","Wednesday","Robbery","2021-075468","11:14","4407 Cottage Grove Rd","PIO Tyler Grigg",53716,43.0838048,-89.306577
"13","2021-03-03","Wednesday","Robbery","2021-075468","11:14","4407 Cottage Grove Rd","PIO Tyler Grigg",53716,43.0838048,-89.306577
"14","2021-03-02","Tuesday","Disturbance","2021-074783","18:51","702 Midvale Blvd","PIO Tyler Grigg",53711,43.0497869,-89.4515038
"15","2021-03-01","Monday","Theft","2021-073086","13:18","8800 block of Timber Wolf Trail","P.O. Gracia Rodriguez",53717,43.076635,-89.5370571
"16","2021-02-28","Sunday","Theft","2021-071858","12:25","7717 Mineral Point Road (Kwik Trip Gas Station)","Sgt. Nicholas Ellis",53717,43.060206,-89.5171004
"17","2021-02-28","Sunday","Traffic Incident","2021-71879","12:09","USH 12 EB/Rimrock Road","P.O. Gracia Rodriguez",53713,43.0373247,-89.3792624
"18","2021-02-28","Sunday","Robbery","2021-71477","02:07","1100 Block of Moorland Rd., (Residential)","Lt. Shannon Blackamore",53713,43.0337008,-89.3667818
"19","2021-02-26","Friday","Fraud","2021-0900847","09:00","6200 block Mineral Point Rd","PIO Tyler Grigg",53705,43.0611737,-89.486911
"20","2021-02-26","Friday","Intoxicated/Impaired Driver","2021-069608","16:59","E Washington Ave/N Ingersoll St","P.O. Gracia Rodriguez",53703,43.0848685,-89.3698577
"21","2021-02-26","Friday","Weapons Violation","2021-069629","17:15","1300 block of Waldorf Blvd","P.O. Gracia Rodriguez",53719,43.0383613,-89.5236968
